"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"func@0x1402b7270","0.001","0","4992000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402b7270","[Unknown]","0x1402b7270","0","0"
"func@0x1402ad3cb","0.002","2496000","4992000","0.5","0","0","1","0","0","0","0","0","0","1.248e+09","ntoskrnl.exe","func@0x1402ad3cb","[Unknown]","0x1402ad3cb","0","0"
"func@0x1402ad1a0","0.003","9984000","0","","0","0","1","0","0","0","0","0","0","3.328e+09","ntoskrnl.exe","func@0x1402ad1a0","[Unknown]","0x1402ad1a0","0","0"
"func@0x1402acdf0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402acdf0","[Unknown]","0x1402acdf0","0","0"
"func@0x1402acc10","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402acc10","[Unknown]","0x1402acc10","0","0"
"func@0x1402a8770","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a8770","[Unknown]","0x1402a8770","0","0"
"func@0x1402a86c0","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402a86c0","[Unknown]","0x1402a86c0","0","0"
"func@0x1402a7b80","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a7b80","[Unknown]","0x1402a7b80","0","0"
"func@0x1402a3610","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402a3610","[Unknown]","0x1402a3610","0","0"
"func@0x1402a23e0","0.003","19968000","2496000","8","0","0","1","0","0","0","0","0","0","6.656e+09","ntoskrnl.exe","func@0x1402a23e0","[Unknown]","0x1402a23e0","0","0"
"func@0x14029e330","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14029e330","[Unknown]","0x14029e330","0","0"
"func@0x140297f90","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140297f90","[Unknown]","0x140297f90","0","0"
"func@0x140296810","0","0","4992000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140296810","[Unknown]","0x140296810","0","0"
"func@0x14029611d","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14029611d","[Unknown]","0x14029611d","0","0"
"func@0x140295c50","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140295c50","[Unknown]","0x140295c50","0","0"
"func@0x140294600","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140294600","[Unknown]","0x140294600","0","0"
"func@0x1402918e0","0.001","0","7488000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402918e0","[Unknown]","0x1402918e0","0","0"
"func@0x1402917c0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402917c0","[Unknown]","0x1402917c0","0","0"
"func@0x14028fcb0","0.001","2496000","2496000","1","0","0","1","0","0","0","0","0","0","2.496e+09","ntoskrnl.exe","func@0x14028fcb0","[Unknown]","0x14028fcb0","0","0"
"func@0x14028fc50","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14028fc50","[Unknown]","0x14028fc50","0","0"
"func@0x14028f840","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14028f840","[Unknown]","0x14028f840","0","0"
"func@0x140289ae9","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140289ae9","[Unknown]","0x140289ae9","0","0"
"func@0x140284390","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140284390","[Unknown]","0x140284390","0","0"
"func@0x14027747c","0","2496000","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14027747c","[Unknown]","0x14027747c","0","0"
"func@0x140273b50","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140273b50","[Unknown]","0x140273b50","0","0"
"func@0x14026f180","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14026f180","[Unknown]","0x14026f180","0","0"
"func@0x14026e0f0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14026e0f0","[Unknown]","0x14026e0f0","0","0"
"func@0x14026cdf0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14026cdf0","[Unknown]","0x14026cdf0","0","0"
"func@0x14026b8b0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14026b8b0","[Unknown]","0x14026b8b0","0","0"
"func@0x140268ac0","0","0","0","0","0","0","1","0","0","","","0","0","0","ntoskrnl.exe","func@0x140268ac0","[Unknown]","0x140268ac0","0","0"
"func@0x140265af5","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140265af5","[Unknown]","0x140265af5","0","0"
"func@0x140264550","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140264550","[Unknown]","0x140264550","0","0"
"func@0x140260f60","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140260f60","[Unknown]","0x140260f60","0","0"
"func@0x14025f5a0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14025f5a0","[Unknown]","0x14025f5a0","0","0"
"func@0x14025f3d0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14025f3d0","[Unknown]","0x14025f3d0","0","0"
"func@0x14025ef60","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14025ef60","[Unknown]","0x14025ef60","0","0"
"func@0x14025b719","0","2496000","0","","0","0","1","0","0","0","1","0","0","","ntoskrnl.exe","func@0x14025b719","[Unknown]","0x14025b719","0","0"
"func@0x14025b2e0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14025b2e0","[Unknown]","0x14025b2e0","0","0"
"func@0x1402559b0","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402559b0","[Unknown]","0x1402559b0","0","0"
"func@0x1402552f0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402552f0","[Unknown]","0x1402552f0","0","0"
"func@0x140252650","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140252650","[Unknown]","0x140252650","0","0"
"func@0x14023f530","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14023f530","[Unknown]","0x14023f530","0","0"
"func@0x14023e9b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14023e9b0","[Unknown]","0x14023e9b0","0","0"
"func@0x14023e874","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14023e874","[Unknown]","0x14023e874","0","0"
"func@0x140236906","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140236906","[Unknown]","0x140236906","0","0"
"func@0x1402366b0","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402366b0","[Unknown]","0x1402366b0","0","0"
"func@0x140233260","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140233260","[Unknown]","0x140233260","0","0"
"func@0x140233140","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140233140","[Unknown]","0x140233140","0","0"
"func@0x140232120","0","0","4992000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140232120","[Unknown]","0x140232120","0","0"
"func@0x140231eac","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140231eac","[Unknown]","0x140231eac","0","0"
"func@0x140231210","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140231210","[Unknown]","0x140231210","0","0"
"func@0x140230b60","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140230b60","[Unknown]","0x140230b60","0","0"
"func@0x1402204f4","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402204f4","[Unknown]","0x1402204f4","0","0"
"func@0x14021c23d","0","0","4992000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14021c23d","[Unknown]","0x14021c23d","0","0"
"func@0x140217d10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140217d10","[Unknown]","0x140217d10","0","0"
"func@0x140216570","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140216570","[Unknown]","0x140216570","0","0"
"func@0x140214eb1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140214eb1","[Unknown]","0x140214eb1","0","0"
"func@0x140213d00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140213d00","[Unknown]","0x140213d00","0","0"
"func@0x140213ca0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140213ca0","[Unknown]","0x140213ca0","0","0"
"func@0x14020c710","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14020c710","[Unknown]","0x14020c710","0","0"
"func@0x14020bf0c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14020bf0c","[Unknown]","0x14020bf0c","0","0"
"func@0x14020a0e0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14020a0e0","[Unknown]","0x14020a0e0","0","0"
"func@0x140209ce5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140209ce5","[Unknown]","0x140209ce5","0","0"
"func@0x1400f44d0","0","2496000","0","","0","0","1","0","0","0","0","0","0","","nvlddmkm.sys","func@0x1400f44d0","[Unknown]","0x1400f44d0","0","0"
"func@0x1400dd690","0","2496000","0","","0","0","1","0","0","0","0","0","0","","nvlddmkm.sys","func@0x1400dd690","[Unknown]","0x1400dd690","0","0"
"func@0x14001df2f","0","0","0","0","0","0","1","0","0","0","0","0","0","0","nvlddmkm.sys","func@0x14001df2f","[Unknown]","0x14001df2f","0","0"
"func@0x14001a640","0","2496000","0","","0","0","1","0","0","0","0","0","0","","nvlddmkm.sys","func@0x14001a640","[Unknown]","0x14001a640","0","0"
"func@0x140014d50","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","func@0x140014d50","[Unknown]","0x140014d50","0","0"
"func@0x1400082e0","0","4992000","4992000","1","0","0","1","0","0","0","0","0","0","","main.exe","func@0x1400082e0","[Unknown]","0x1400082e0","0","0"
"func@0x1400071c8","0.001","0","12480000","0","0","0","1","0","0","0","0","0","0","0","main.exe","func@0x1400071c8","[Unknown]","0x1400071c8","0","0"
"func@0x1400071b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","func@0x1400071b0","[Unknown]","0x1400071b0","0","0"
"func@0x140002d02","0.001","4992000","4992000","1","0","0","1","0","0","0","0","0","0","4.992e+09","main.exe","func@0x140002d02","[Unknown]","0x140002d02","0","0"
"FsRtlReleaseHeaderMutex","0","4992000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","FsRtlReleaseHeaderMutex","[Unknown]","0x1402c6040","0","0"
"FsRtlReleaseEofLock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","FsRtlReleaseEofLock","[Unknown]","0x1403b9f80","0","0"
"FsRtlAcquireHeaderMutex","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","FsRtlAcquireHeaderMutex","[Unknown]","0x1402e0740","0","0"
"free_base","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","ucrtbase.dll","free_base","[Unknown]","0x18001e0e0","0","0"
"FltGetStreamContext","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","FltGetStreamContext","[Unknown]","0x1c0006af0","0","0"
"fCheck","0","2496000","12480000","0.2","0","0","1","0","0","0","0","0","0","","main.exe","fCheck(unsigned long long*, int, int)","main.cc","0x1400017e9","0","0"
"ExReleaseResourceLite","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x1402d8e10","0","0"
"ExReleaseFastMutex","0","2496000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","ExReleaseFastMutex","[Unknown]","0x1402c6330","0","0"
"ExReleaseCacheAwarePushLockSharedEx","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExReleaseCacheAwarePushLockSharedEx","[Unknown]","0x1403f6a50","0","0"
"ExpInterlockedPushEntrySList","0","2496000","2496000","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","ExpInterlockedPushEntrySList","[Unknown]","0x1406adc90","0","0"
"ExpInterlockedPopEntrySList","0","0","4992000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExpInterlockedPopEntrySList","[Unknown]","0x1406adc50","0","0"
"ExAcquireFastMutex","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExAcquireFastMutex","[Unknown]","0x1402de760","0","0"
"CRT_combine_worker","0.00900001","14976000","42432000","0.352941","0","0","1","0","0","0","0","0","0","1.664e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","0","0"
" Thread (TID: 32224)","0.002","0","7488000","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","32224"
"  cpu_12","0.002","0","7488000","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","32224"
" Thread (TID: 31884)","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","31884"
"  cpu_3","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","31884"
" Thread (TID: 30160)","0.001","2496000","4992000","0.5","0","0","1","0","0","0","0","0","0","2.496e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","30160"
"  cpu_10","0.001","2496000","4992000","0.5","0","0","1","0","0","0","0","0","0","2.496e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","30160"
" Thread (TID: 28824)","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","28824"
"  cpu_23","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","28824"
"  cpu_11","0.001","2496000","0","","0","0","1","0","0","0","0","0","0","2.496e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","28824"
" Thread (TID: 27528)","0.002","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","27528"
"  cpu_9","0.002","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","27528"
" Thread (TID: 22856)","0","2496000","7488000","0.333333","0","0","1","0","0","0","0","0","0","","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","22856"
"  cpu_4","0","2496000","7488000","0.333333","0","0","1","0","0","0","0","0","0","","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","22856"
" Thread (TID: 18244)","0.001","4992000","12480000","0.4","0","0","1","0","0","0","0","0","0","4.992e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","18244"
"  cpu_0","0.001","4992000","12480000","0.4","0","0","1","0","0","0","0","0","0","4.992e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","18244"
" Thread (TID: 14532)","0.002","2496000","7488000","0.333333","0","0","1","0","0","0","0","0","0","1.248e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","14532"
"  cpu_14","0.002","2496000","7488000","0.333333","0","0","1","0","0","0","0","0","0","1.248e+09","main.exe","CRT_combine_worker(CRTCombineArgs*)","main.cc","0x1400036be","32024","14532"
"CcCopyWriteEx","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","CcCopyWriteEx","[Unknown]","0x1403ca150","0","0"
"bit_reverse","0.006","29952000","57408000","0.521739","0","0","1","0","0","0","0","0","0","4.992e+09","main.exe","bit_reverse(std::vector<unsigned long long, std::allocator<unsigned long long>>&, int)","main.cc","0x140002c3e","0","0"
"_umodti3","0.02","84864000","192192000","0.441558","0","0","1","0","0","0","1","0","0","4.2432e+09","libgcc_s_seh-1.dll","_umodti3","[Unknown]","0x1e0147770","0","0"
"_gthread_mutex_lock","0","0","0","0","0","0","1","0","0","0","0","0","0","0","main.exe","_gthread_mutex_lock","gthr-default.h","0x14000149d","0","0"
"__gnu_cxx::operator!=<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>","0.002","2496000","14976000","0.166667","0","0","1","0","0","0","0","0","0","1.248e+09","main.exe","__gnu_cxx::operator!=<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>> const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>> const&)","stl_iterator.h","0x140009780","0","0"
"__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::operator++","0","4992000","14976000","0.333333","0","0","1","0","0","0","0","0","0","","main.exe","__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::operator++(void)","stl_iterator.h","0x140009640","0","0"
"__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::operator*","0","4992000","0","","0","0","1","0","0","0","0","0","0","","main.exe","__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::operator*(void) const","stl_iterator.h","0x140009890","0","0"
"__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::base","0","0","19968000","0","0","0","1","0","0","0","0","0","0","0","main.exe","__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long>>>::base(void) const","stl_iterator.h","0x140009880","0","0"
